80000,338,209.4048157,29,,,,80000,327,32.27452087,4,,,,80000,306,670.6547852,29,,80000,232,163.7607422,4,,,80000,494,160.2425079,29,,,,80000,393,138.671402,4,,,80000,495,190.0859375,29,,,,,,80000,388,40.29524231,4
70000,392,235.6103439,33,,,,70000,327,33.58719635,4,,,,70000,398,857.6567383,33,,70000,240,257.9711838,4,,,70000,554,219.4822998,33,,,,70000,463,28.09503174,4,,,70000,561,192.8962555,33,,,,,,70000,394,57.88140106,4
60000,494,228.8235474,41,,,,60000,362,36.22962952,4,,,,60000,563,1046.654785,41,,60000,234,131.9569702,4,,,60000,591,352.2071991,41,,,,60000,416,103.1348038,4,,,60000,655,218.9111328,41,,,,,,60000,409,53.13342285,4
50000,747,193.381691,47,,,,50000,367,84.84185791,7,,,,50000,934,715.8769836,47,,50000,246,194.6239319,6,,,50000,720,167.5888672,47,,,,50000,419,212.8666992,6,,,50000,820,515.3623047,47,,,,,,50000,416,83.37632751,6
40000,1679,189.3336182,66,,,,40000,373,43.00749207,10,,,,40000,2264,913.8769836,66,,40000,260,305.3296967,10,,,40000,905,395.3442383,66,,,,40000,411,289.7314453,10,,,40000,1156,593.2099609,66,,,,,,40000,431,63.86811829,10
30000,5279,273.2665939,114,,,,30000,403,68.04260254,14,,,,30000,2559,1101.876984,114,,30000,270,124.0351639,14,,,30000,1366,386.7832031,114,,,,30000,465,107.782074,14,,,30000,2329,798.0826721,114,,,,,,30000,451,83.35677338,14
20000,13313,262.1578445,259,,,,20000,540,76.75847626,32,,,,20000,14155,811.2463226,259,,20000,399,317.7670898,32,,,20000,2422,561.4414063,259,,,,20000,469,438.8730469,33,,,20000,6706,875.3041382,259,,,,,,20000,513,442.3372192,32
10000,26445,367.5305328,912,,,,10000,1625,138.9384995,104,,,,10000,35541,1037.246323,912,,10000,1132,137.9662323,104,,,10000,5441,787.34375,912,,,,10000,507,237.8157959,103,,,10000,26090,805.5886688,912,,,,,,10000,952,439.2884827,105
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago_Crimes_2001_to_2017,huim,,,,,,Chicago_Crimes_2001_to_2017,round-huim,,,,,,Chicago_Crimes_2001_to_2017,EFIM,,,,Chicago_Crimes_2001_to_2017,round_EFIM,,,,,Chicago_Crimes_2001_to_2017,ULB-Miner,,,,,,Chicago_Crimes_2001_to_2017,round_ULB-Miner,,,,,Chicago_Crimes_2001_to_2017,Hminer,,,,,,,,Chicago_Crimes_2001_to_2017,round_Hminer,,
